state,district,year,month,enrollment,date,lag_1,lag_2,rolling_mean_3,rolling_std_3,state_avg,district_state_ratio,target_log,sample_weight
Andhra Pradesh,Alluri Sitharama Raju,2025,11,315,2025-11-01,267.0,387.0,327.0,84.8528137423857,1128.1923076923076,0.2792077182692783,5.755742213586912,17.74823934929885
Andhra Pradesh,Alluri Sitharama Raju,2025,12,245,2025-12-01,315.0,267.0,323.0,60.398675482166,798.1153846153846,0.30697315791971563,5.5053315359323625,15.652475842498529
Andhra Pradesh,Anakapalli,2025,10,79,2025-10-01,150.0,150.0,150.0,0.0,786.6923076923077,0.10042045565646764,4.382026634673881,8.888194417315589
Andhra Pradesh,Anakapalli,2025,11,171,2025-11-01,79.0,150.0,114.5,50.204581464244875,1128.1923076923076,0.15156990420332253,5.147494476813453,13.076696830622021
Andhra Pradesh,Anakapalli,2025,12,124,2025-12-01,171.0,79.0,133.33333333333334,48.21134029803914,798.1153846153846,0.15536600645732546,4.8283137373023015,11.135528725660043
Andhra Pradesh,Ananthapuramu,2025,10,1884,2025-10-01,2616.0,2616.0,2616.0,0.0,786.6923076923077,2.394837195655507,7.541683099882111,43.40506882842141
Andhra Pradesh,Ananthapuramu,2025,11,2346,2025-11-01,1884.0,2616.0,2250.0,517.6021638285528,1128.1923076923076,2.07943272082453,7.760893195851024,48.43552415324934
Andhra Pradesh,Ananthapuramu,2025,12,1476,2025-12-01,2346.0,1884.0,2282.0,370.172932559905,798.1153846153846,1.8493566575081641,7.29776828253138,38.41874542459709
Andhra Pradesh,Annamayya,2025,10,175,2025-10-01,306.0,306.0,306.0,0.0,786.6923076923077,0.22245037645420046,5.170483995038151,13.228756555322953
Andhra Pradesh,Annamayya,2025,11,281,2025-11-01,175.0,306.0,240.5,92.63098833543772,1128.1923076923076,0.24907101217037209,5.641907070938114,16.76305461424021
Andhra Pradesh,Annamayya,2025,12,233,2025-12-01,281.0,175.0,254.0,69.54854419756032,798.1153846153846,0.29193773793997446,5.455321115357702,15.264337522473747
Andhra Pradesh,Bapatla,2025,10,79,2025-10-01,134.0,134.0,134.0,0.0,786.6923076923077,0.10042045565646764,4.382026634673881,8.888194417315589
Andhra Pradesh,Bapatla,2025,11,152,2025-11-01,79.0,134.0,106.5,38.890872965260115,1128.1923076923076,0.13472880373628668,5.030437921392435,12.328828005937952
Andhra Pradesh,Bapatla,2025,12,117,2025-12-01,152.0,79.0,121.66666666666667,38.03068936179481,798.1153846153846,0.14659534480247643,4.770684624465665,10.816653826391969
Andhra Pradesh,Chittoor,2025,10,1644,2025-10-01,2572.0,2572.0,2572.0,0.0,786.6923076923077,2.0897623936611747,7.405495663199472,40.54626986542659
Andhra Pradesh,Chittoor,2025,11,2254,2025-11-01,1644.0,2572.0,2108.0,656.1950929411161,1128.1923076923076,1.997886339615725,7.720905251936779,47.47630988187688
Andhra Pradesh,Chittoor,2025,12,1477,2025-12-01,2254.0,1644.0,2156.6666666666665,471.5944585481612,798.1153846153846,1.8506096091731428,7.298445101508147,38.43175770115127
Andhra Pradesh,Cuddapah,2025,10,1310,2025-10-01,1926.0,1926.0,1926.0,0.0,786.6923076923077,1.665199960885729,7.1785454837637,36.193922141707716
Andhra Pradesh,Cuddapah,2025,11,1880,2025-11-01,1310.0,1926.0,1618.0,435.57777721091327,1128.1923076923076,1.6663825725277563,7.53955882930103,43.3589667773576
Andhra Pradesh,Cuddapah,2025,12,1316,2025-12-01,1880.0,1310.0,1705.3333333333333,343.1403988651487,798.1153846153846,1.6488843911116153,7.183111701743281,36.27671429443411
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,10,103,2025-10-01,220.0,220.0,220.0,0.0,786.6923076923077,0.13092793585590085,4.6443908991413725,10.14889156509222
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,11,185,2025-11-01,103.0,220.0,161.5,82.73149339882606,1128.1923076923076,0.16397913612640155,5.225746673713202,13.601470508735444
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,12,143,2025-12-01,185.0,103.0,169.33333333333334,60.05275458572515,798.1153846153846,0.17917208809191565,4.969813299576001,11.958260743101398
Andhra Pradesh,East Godavari,2025,10,1399,2025-10-01,2503.0,2503.0,2503.0,0.0,786.6923076923077,1.7783318666252939,7.24422751560335,37.403208418530085
Andhra Pradesh,East Godavari,2025,11,2123,2025-11-01,1399.0,2503.0,1951.0,780.6458864299485,1128.1923076923076,1.8817713837640568,7.66105638236183,46.07602413403309
Andhra Pradesh,East Godavari,2025,12,1479,2025-12-01,2123.0,1399.0,2008.3333333333333,560.8612424952657,798.1153846153846,1.8531155125030996,7.299797366758161,38.45776904605882
Andhra Pradesh,Eluru,2025,10,104,2025-10-01,182.0,182.0,182.0,0.0,786.6923076923077,0.13219908086421056,4.653960350157523,10.198039027185569
Andhra Pradesh,Eluru,2025,11,199,2025-11-01,104.0,182.0,143.0,55.154328932550705,1128.1923076923076,0.1763883680494806,5.298317366548036,14.106735979665885
Andhra Pradesh,Eluru,2025,12,123,2025-12-01,199.0,104.0,161.66666666666666,50.658990646610135,798.1153846153846,0.15411305479234702,4.820281565605037,11.090536506409418
Andhra Pradesh,Guntur,2025,10,1654,2025-10-01,2748.0,2748.0,2748.0,0.0,786.6923076923077,2.1024738437442716,7.411556287811163,40.66939881532551
Andhra Pradesh,Guntur,2025,11,2942,2025-11-01,1654.0,2748.0,2201.0,773.574818618083,1128.1923076923076,2.6077114512641804,7.987184748233473,54.24020648928247
Andhra Pradesh,Guntur,2025,12,2136,2025-12-01,2942.0,1654.0,2448.0,694.4321421132521,798.1153846153846,2.676304756393929,7.667158255319148,46.216880033165374
Andhra Pradesh,Kakinada,2025,10,177,2025-10-01,271.0,271.0,271.0,0.0,786.6923076923077,0.2249926664708199,5.181783550292085,13.30413469565007
Andhra Pradesh,Kakinada,2025,11,274,2025-11-01,177.0,271.0,224.0,66.46803743153546,1128.1923076923076,0.24286639620883257,5.616771097666572,16.55294535724685
Andhra Pradesh,Kakinada,2025,12,210,2025-12-01,274.0,177.0,240.66666666666666,55.15735067362584,798.1153846153846,0.2631198496454705,5.351858133476067,14.491376746189438
Andhra Pradesh,Krishna,2025,10,1209,2025-10-01,2209.0,2209.0,2209.0,0.0,786.6923076923077,1.5368143150464477,7.098375638590786,34.77067730142742
Andhra Pradesh,Krishna,2025,11,1869,2025-11-01,1209.0,2209.0,1709.0,707.1067811865476,1128.1923076923076,1.6566324617310515,7.533693709848633,43.23193264243457
Andhra Pradesh,Krishna,2025,12,1281,2025-12-01,1869.0,1209.0,1762.3333333333333,508.46173241782253,798.1153846153846,1.6050310828373702,7.156176637480615,35.79106033634656
Andhra Pradesh,Kurnool,2025,10,2644,2025-10-01,3481.0,3481.0,3481.0,0.0,786.6923076923077,3.3609074019708913,7.8804263442924,51.419840528729765
Andhra Pradesh,Kurnool,2025,11,3116,2025-11-01,2644.0,3481.0,3062.5,591.8483758531403,1128.1923076923076,2.761940476593877,8.044626279767337,55.82114294781145
Andhra Pradesh,Kurnool,2025,12,2275,2025-12-01,3116.0,2644.0,3080.3333333333335,419.63833634849584,798.1153846153846,2.8504650378259306,7.730174795246222,47.69696007084728
Andhra Pradesh,N. T. R,2025,10,160,2025-10-01,295.0,295.0,295.0,0.0,786.6923076923077,0.2033832013295547,5.081404364984463,12.649110640673518
Andhra Pradesh,N. T. R,2025,11,263,2025-11-01,160.0,295.0,227.5,95.45941546018392,1128.1923076923076,0.23311628541212762,5.575949103146316,16.217274740226856
Andhra Pradesh,N. T. R,2025,12,194,2025-12-01,263.0,160.0,239.33333333333334,70.54313101453134,798.1153846153846,0.2430726230058156,5.272999558563747,13.92838827718412
Andhra Pradesh,Nandyal,2025,10,195,2025-10-01,230.0,230.0,230.0,0.0,786.6923076923077,0.2478732766203948,5.278114659230517,13.96424004376894
Andhra Pradesh,Nandyal,2025,11,276,2025-11-01,195.0,230.0,212.5,24.748737341529164,1128.1923076923076,0.24463914362641528,5.6240175061873385,16.61324772583615
Andhra Pradesh,Nandyal,2025,12,185,2025-12-01,276.0,195.0,233.66666666666666,40.62429486567532,798.1153846153846,0.23179605802100975,5.225746673713202,13.601470508735444
Andhra Pradesh,Palnadu,2025,10,152,2025-10-01,284.0,284.0,284.0,0.0,786.6923076923077,0.19321404126307698,5.030437921392435,12.328828005937952
Andhra Pradesh,Palnadu,2025,11,179,2025-11-01,152.0,284.0,218.0,93.33809511662427,1128.1923076923076,0.1586608938736534,5.19295685089021,13.379088160259652
Andhra Pradesh,Palnadu,2025,12,215,2025-12-01,179.0,152.0,205.0,69.73521348644456,798.1153846153846,0.2693846079703627,5.375278407684165,14.66287829861518
Andhra Pradesh,Parvathipuram Manyam,2025,10,106,2025-10-01,177.0,177.0,177.0,0.0,786.6923076923077,0.13474137088083,4.672828834461906,10.295630140987
Andhra Pradesh,Parvathipuram Manyam,2025,11,110,2025-11-01,106.0,177.0,141.5,50.204581464244875,1128.1923076923076,0.09750110796704957,4.709530201312334,10.488088481701515
Andhra Pradesh,Parvathipuram Manyam,2025,12,96,2025-12-01,110.0,106.0,131.0,39.88734135035826,798.1153846153846,0.12028335983792939,4.574710978503383,9.797958971132712
Andhra Pradesh,Prakasam,2025,9,2689,2025-09-01,237.0,237.0,237.0,0.0,1299.8846153846155,2.068645146017286,7.897296472595885,51.85556864985669
Andhra Pradesh,Prakasam,2025,10,1356,2025-10-01,2689.0,237.0,1463.0,1733.8258274694144,786.6923076923077,1.723672631267976,7.213031659834869,36.823905279043935
Andhra Pradesh,Prakasam,2025,11,1822,2025-11-01,1356.0,2689.0,1427.3333333333333,1227.5554298414932,1128.1923076923076,1.6149728974178574,7.508238774678663,42.68489194082609
Andhra Pradesh,Prakasam,2025,12,1286,2025-12-01,1822.0,1356.0,1955.6666666666667,676.4778882811569,798.1153846153846,1.6112958411622624,7.160069207596127,35.86084215408221
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,6,1348,2025-06-01,116.0,116.0,116.0,0.0,787.0,1.7128335451058287,7.207118856207756,36.71511950137164
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,7,719,2025-07-01,1348.0,116.0,732.0,871.1555544218265,478.0,1.5041841004152632,6.579251212010101,26.814175355583846
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,9,2290,2025-09-01,719.0,1348.0,727.6666666666666,616.0457234112848,1299.8846153846155,1.7616948249831108,7.736743682453495,47.853944456021594
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,10,1288,2025-10-01,2290.0,719.0,1452.3333333333333,790.679665435588,786.6923076923077,1.6372347707029153,7.161622002939187,35.888716889852724
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,11,1928,2025-11-01,1288.0,2290.0,1432.3333333333333,795.3831361886756,1128.1923076923076,1.7089285105497416,7.564757012905729,43.9089968002003
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,12,1217,2025-12-01,1928.0,1288.0,1835.3333333333333,507.3867689774078,798.1153846153846,1.5248421762787505,7.1049654482698426,34.88552708502482
Andhra Pradesh,Sri Sathya Sai,2025,10,187,2025-10-01,263.0,263.0,263.0,0.0,786.6923076923077,0.23770411655391704,5.236441962829949,13.674794331177344
Andhra Pradesh,Sri Sathya Sai,2025,11,244,2025-11-01,187.0,263.0,225.0,53.74011537017761,1128.1923076923076,0.2162751849450918,5.501258210544727,15.620499351813308
Andhra Pradesh,Sri Sathya Sai,2025,12,207,2025-12-01,244.0,187.0,231.33333333333334,39.55165398985652,798.1153846153846,0.25936099465053525,5.337538079701318,14.38749456993816
Andhra Pradesh,Srikakulam,2025,10,834,2025-10-01,1397.0,1397.0,1397.0,0.0,786.6923076923077,1.060134936930304,6.727431724850855,28.879058156387302
Andhra Pradesh,Srikakulam,2025,11,1172,2025-11-01,834.0,1397.0,1115.5,398.10111780802623,1128.1923076923076,1.0388299867034736,7.067319848653476,34.23448553724738
Andhra Pradesh,Srikakulam,2025,12,773,2025-12-01,1172.0,834.0,1134.3333333333333,283.38372100975266,798.1153846153846,0.9685316370283272,6.651571873589727,27.80287754891569
Andhra Pradesh,Tirupati,2025,10,215,2025-10-01,617.0,617.0,617.0,0.0,786.6923076923077,0.27329617678658913,5.375278407684165,14.66287829861518
Andhra Pradesh,Tirupati,2025,11,495,2025-11-01,215.0,617.0,416.0,284.2569260369921,1128.1923076923076,0.43875498585172307,6.206575926724928,22.24859546128699
Andhra Pradesh,Tirupati,2025,12,356,2025-12-01,495.0,215.0,442.3333333333333,206.11000299192986,798.1153846153846,0.44605079273232145,5.877735781779639,18.867962264113206
Andhra Pradesh,Visakhapatnam,2025,9,2551,2025-09-01,226.0,226.0,226.0,0.0,1299.8846153846155,1.9624818770881727,7.844632644464681,50.50742519669756
Andhra Pradesh,Visakhapatnam,2025,10,1495,2025-10-01,2551.0,226.0,1388.5,1644.023266258723,786.6923076923077,1.9003617874230267,7.310550158534422,38.66522985836241
Andhra Pradesh,Visakhapatnam,2025,11,2116,2025-11-01,1495.0,2551.0,1424.0,1164.124993288951,1128.1923076923076,1.8755667678025172,7.6577552711348655,46.0
Andhra Pradesh,Visakhapatnam,2025,12,1748,2025-12-01,2116.0,1495.0,2054.0,530.7230916400755,798.1153846153846,2.1901595103822973,7.466799475018602,41.80908992073375
Andhra Pradesh,Vizianagaram,2025,10,711,2025-10-01,1294.0,1294.0,1294.0,0.0,786.6923076923077,0.9037841009082087,6.568077911411976,26.664583251946766
Andhra Pradesh,Vizianagaram,2025,11,1017,2025-11-01,711.0,1294.0,1002.5,412.2432534317572,1128.1923076923076,0.9014420618408129,6.925595197110468,31.89043743820395
Andhra Pradesh,Vizianagaram,2025,12,723,2025-12-01,1017.0,711.0,1007.3333333333334,291.62018677268094,798.1153846153846,0.9058840537794056,6.584791392385716,26.888659319497503
Andhra Pradesh,West Godavari,2025,10,1027,2025-10-01,2005.0,2005.0,2005.0,0.0,786.6923076923077,1.3054659235340793,6.93537044601511,32.046840717924134
Andhra Pradesh,West Godavari,2025,11,1604,2025-11-01,1027.0,2005.0,1516.0,691.5504320004435,1128.1923076923076,1.421743428901341,7.380879035564116,40.049968789001575
Andhra Pradesh,West Godavari,2025,12,1116,2025-12-01,1604.0,1027.0,1545.3333333333333,491.632315184156,798.1153846153846,1.398294058115929,7.018401799069201,33.406586176980134
Arunachal Pradesh,Anjaw,2025,10,3,2025-10-01,21.0,21.0,21.0,0.0,34.291666666666664,0.08748481166209038,1.3862943611198906,1.7320508075688772
Arunachal Pradesh,Anjaw,2025,11,9,2025-11-01,3.0,21.0,12.0,12.727922061357855,31.64,0.28445006320213495,2.302585092994046,3.0
Arunachal Pradesh,Anjaw,2025,12,3,2025-12-01,9.0,3.0,11.0,9.16515138991168,15.333333333333334,0.19565217390028355,1.3862943611198906,1.7320508075688772
Arunachal Pradesh,Changlang,2025,10,187,2025-10-01,429.0,429.0,429.0,0.0,34.291666666666664,5.453219926936967,5.236441962829949,13.674794331177344
Arunachal Pradesh,Changlang,2025,11,116,2025-11-01,187.0,429.0,308.0,171.1198410471445,31.64,3.6662452590497394,4.762173934797756,10.770329614269007
Arunachal Pradesh,Changlang,2025,12,58,2025-12-01,116.0,187.0,244.0,164.1005789142744,15.333333333333334,3.782608695405482,4.07753744390572,7.615773105863909
Arunachal Pradesh,Dibang Valley,2025,10,4,2025-10-01,4.0,4.0,4.0,0.0,34.291666666666664,0.11664641554945383,1.6094379124341003,2.0
Arunachal Pradesh,Dibang Valley,2025,11,1,2025-11-01,4.0,4.0,4.0,0.0,31.64,0.031605562578014994,0.6931471805599453,1.0
Arunachal Pradesh,Dibang Valley,2025,12,1,2025-12-01,1.0,4.0,3.0,1.7320508075688772,15.333333333333334,0.06521739130009452,0.6931471805599453,1.0
Arunachal Pradesh,East Kameng,2025,10,39,2025-10-01,76.0,76.0,76.0,0.0,34.291666666666664,1.1373025516071749,3.6888794541139363,6.244997998398398
Arunachal Pradesh,East Kameng,2025,11,44,2025-11-01,39.0,76.0,57.5,26.16295090390226,31.64,1.3906447534326598,3.8066624897703196,6.6332495807108
Arunachal Pradesh,East Kameng,2025,12,20,2025-12-01,44.0,39.0,53.0,20.074859899884732,15.333333333333334,1.3043478260018904,3.044522437723423,4.47213595499958
Arunachal Pradesh,East Siang,2025,10,40,2025-10-01,56.0,56.0,56.0,0.0,34.291666666666664,1.1664641554945383,3.713572066704308,6.324555320336759
Arunachal Pradesh,East Siang,2025,11,53,2025-11-01,40.0,56.0,48.0,11.313708498984761,31.64,1.6750948166347948,3.9889840465642745,7.280109889280518
Arunachal Pradesh,East Siang,2025,12,16,2025-12-01,53.0,40.0,49.666666666666664,8.504900548115383,15.333333333333334,1.0434782608015123,2.833213344056216,4.0
Arunachal Pradesh,Kamle,2025,10,1,2025-10-01,20.0,20.0,20.0,0.0,34.291666666666664,0.029161603887363458,0.6931471805599453,1.0
Arunachal Pradesh,Kamle,2025,11,7,2025-11-01,1.0,20.0,10.5,13.435028842544403,31.64,0.22123893804610495,2.0794415416798357,2.6457513110645907
Arunachal Pradesh,Kamle,2025,12,2,2025-12-01,7.0,1.0,9.333333333333334,9.71253485622231,15.333333333333334,0.13043478260018904,1.0986122886681098,1.4142135623730951
Arunachal Pradesh,Kra Daadi,2025,10,21,2025-10-01,34.0,34.0,34.0,0.0,34.291666666666664,0.6123936816346326,3.091042453358316,4.58257569495584
Arunachal Pradesh,Kra Daadi,2025,11,16,2025-11-01,21.0,34.0,27.5,9.192388155425117,31.64,0.5056890012482399,2.833213344056216,4.0
Arunachal Pradesh,Kra Daadi,2025,12,9,2025-12-01,16.0,21.0,23.666666666666668,9.29157324317757,15.333333333333334,0.5869565217008507,2.302585092994046,3.0
Arunachal Pradesh,Kurung Kumey,2025,10,18,2025-10-01,26.0,26.0,26.0,0.0,34.291666666666664,0.5249088699725423,2.9444389791664403,4.242640687119285
Arunachal Pradesh,Kurung Kumey,2025,11,25,2025-11-01,18.0,26.0,22.0,5.656854249492381,31.64,0.7901390644503749,3.258096538021482,5.0
Arunachal Pradesh,Kurung Kumey,2025,12,4,2025-12-01,25.0,18.0,23.0,4.358898943540674,15.333333333333334,0.2608695652003781,1.6094379124341003,2.0
Arunachal Pradesh,Leparada,2025,11,1,2025-11-01,1.0,1.0,1.0,0.0,31.64,0.031605562578014994,0.6931471805599453,1.0
Arunachal Pradesh,Leparada,2025,12,1,2025-12-01,1.0,1.0,1.0,0.0,15.333333333333334,0.06521739130009452,0.6931471805599453,1.0
Arunachal Pradesh,Lohit,2025,10,35,2025-10-01,48.0,48.0,48.0,0.0,34.291666666666664,1.020656136057721,3.58351893845611,5.916079783099616
Arunachal Pradesh,Lohit,2025,11,29,2025-11-01,35.0,48.0,41.5,9.192388155425117,31.64,0.9165613147624349,3.4011973816621555,5.385164807134504
Arunachal Pradesh,Lohit,2025,12,45,2025-12-01,29.0,35.0,37.333333333333336,9.71253485622231,15.333333333333334,2.934782608504253,3.828641396489095,6.708203932499369
Arunachal Pradesh,Longding,2025,9,330,2025-09-01,401.0,401.0,401.0,0.0,70.96,4.650507328006617,5.802118375377063,18.16590212458495
Arunachal Pradesh,Longding,2025,10,65,2025-10-01,330.0,401.0,365.5,50.204581464244875,34.291666666666664,1.8955042526786248,4.189654742026425,8.06225774829855
Arunachal Pradesh,Longding,2025,11,72,2025-11-01,65.0,330.0,265.3333333333333,177.08849012099384,31.64,2.2756005056170796,4.290459441148391,8.48528137423857
Arunachal Pradesh,Longding,2025,12,10,2025-12-01,72.0,65.0,155.66666666666666,151.01765901156503,15.333333333333334,0.6521739130009452,2.3978952727983707,3.1622776601683795
Arunachal Pradesh,Lower Dibang Valley,2025,10,23,2025-10-01,43.0,43.0,43.0,0.0,34.291666666666664,0.6707168894093595,3.1780538303479458,4.795831523312719
Arunachal Pradesh,Lower Dibang Valley,2025,11,23,2025-11-01,23.0,43.0,33.0,14.142135623730951,31.64,0.7269279392943448,3.1780538303479458,4.795831523312719
Arunachal Pradesh,Lower Dibang Valley,2025,12,14,2025-12-01,23.0,23.0,29.666666666666668,11.547005383792516,15.333333333333334,0.9130434782013233,2.70805020110221,3.7416573867739413
Arunachal Pradesh,Lower Siang,2025,10,4,2025-10-01,12.0,12.0,12.0,0.0,34.291666666666664,0.11664641554945383,1.6094379124341003,2.0
Arunachal Pradesh,Lower Siang,2025,11,14,2025-11-01,4.0,12.0,8.0,5.656854249492381,31.64,0.4424778760922099,2.70805020110221,3.7416573867739413
Arunachal Pradesh,Lower Siang,2025,12,1,2025-12-01,14.0,4.0,10.0,5.291502622129181,15.333333333333334,0.06521739130009452,0.6931471805599453,1.0
Arunachal Pradesh,Lower Subansiri,2025,10,22,2025-10-01,44.0,44.0,44.0,0.0,34.291666666666664,0.641555285521996,3.1354942159291497,4.69041575982343
Arunachal Pradesh,Lower Subansiri,2025,11,28,2025-11-01,22.0,44.0,33.0,15.556349186104045,31.64,0.8849557521844198,3.367295829986474,5.291502622129181
Arunachal Pradesh,Lower Subansiri,2025,12,11,2025-12-01,28.0,22.0,31.333333333333332,11.372481406154654,15.333333333333334,0.7173913043010397,2.4849066497880004,3.3166247903554
Arunachal Pradesh,Namsai,2025,10,34,2025-10-01,61.0,61.0,61.0,0.0,34.291666666666664,0.9914945321703575,3.5553480614894135,5.830951894845301
Arunachal Pradesh,Namsai,2025,11,25,2025-11-01,34.0,61.0,47.5,19.091883092036785,31.64,0.7901390644503749,3.258096538021482,5.0
Arunachal Pradesh,Namsai,2025,12,28,2025-12-01,25.0,34.0,40.0,18.734993995195193,15.333333333333334,1.8260869564026465,3.367295829986474,5.291502622129181
Arunachal Pradesh,Pakke Kessang,2025,10,1,2025-10-01,2.0,2.0,2.0,0.0,34.291666666666664,0.029161603887363458,0.6931471805599453,1.0
Arunachal Pradesh,Pakke Kessang,2025,11,1,2025-11-01,1.0,2.0,1.5,0.7071067811865476,31.64,0.031605562578014994,0.6931471805599453,1.0
Arunachal Pradesh,Papum Pare,2025,10,119,2025-10-01,159.0,159.0,159.0,0.0,34.291666666666664,3.4702308625962512,4.787491742782046,10.908712114635714
Arunachal Pradesh,Papum Pare,2025,11,111,2025-11-01,119.0,159.0,139.0,28.284271247461902,31.64,3.5082174461596645,4.718498871295094,10.535653752852738
Arunachal Pradesh,Papum Pare,2025,12,45,2025-12-01,111.0,119.0,129.66666666666666,25.716402029314544,15.333333333333334,2.934782608504253,3.828641396489095,6.708203932499369
Arunachal Pradesh,Shi-Yomi,2025,10,7,2025-10-01,5.0,5.0,5.0,0.0,34.291666666666664,0.2041312272115442,2.0794415416798357,2.6457513110645907
Arunachal Pradesh,Shi-Yomi,2025,11,17,2025-11-01,7.0,5.0,6.0,1.4142135623730951,31.64,0.537294563826255,2.8903717578961645,4.123105625617661
Arunachal Pradesh,Shi-Yomi,2025,12,2,2025-12-01,17.0,7.0,9.666666666666666,6.429100507328637,15.333333333333334,0.13043478260018904,1.0986122886681098,1.4142135623730951
Arunachal Pradesh,Siang,2025,10,14,2025-10-01,74.0,74.0,74.0,0.0,34.291666666666664,0.4082624544230884,2.70805020110221,3.7416573867739413
Arunachal Pradesh,Siang,2025,11,12,2025-11-01,14.0,74.0,44.0,42.42640687119285,31.64,0.37926675093617995,2.5649493574615367,3.4641016151377544
Arunachal Pradesh,Siang,2025,12,2,2025-12-01,12.0,14.0,33.333333333333336,35.23256069793017,15.333333333333334,0.13043478260018904,1.0986122886681098,1.4142135623730951
Arunachal Pradesh,Tawang,2025,10,32,2025-10-01,70.0,70.0,70.0,0.0,34.291666666666664,0.9331713243956307,3.4965075614664802,5.656854249492381
Arunachal Pradesh,Tawang,2025,11,33,2025-11-01,32.0,70.0,51.0,26.870057685088806,31.64,1.0429835650744947,3.5263605246161616,5.744562646538029
Arunachal Pradesh,Tawang,2025,12,18,2025-12-01,33.0,32.0,45.0,21.656407827707714,15.333333333333334,1.1739130434017013,2.9444389791664403,4.242640687119285
Arunachal Pradesh,Tirap,2025,10,23,2025-10-01,26.0,26.0,26.0,0.0,34.291666666666664,0.6707168894093595,3.1780538303479458,4.795831523312719
Arunachal Pradesh,Tirap,2025,11,30,2025-11-01,23.0,26.0,24.5,2.1213203435596424,31.64,0.9481668773404498,3.4339872044851463,5.477225575051661
Arunachal Pradesh,Tirap,2025,12,10,2025-12-01,30.0,23.0,26.333333333333332,3.5118845842842465,15.333333333333334,0.6521739130009452,2.3978952727983707,3.1622776601683795
Arunachal Pradesh,Upper Siang,2025,10,13,2025-10-01,15.0,15.0,15.0,0.0,34.291666666666664,0.37910085053572495,2.6390573296152584,3.605551275463989
Arunachal Pradesh,Upper Siang,2025,11,9,2025-11-01,13.0,15.0,14.0,1.4142135623730951,31.64,0.28445006320213495,2.302585092994046,3.0
Arunachal Pradesh,Upper Siang,2025,12,4,2025-12-01,9.0,13.0,12.333333333333334,3.0550504633038935,15.333333333333334,0.2608695652003781,1.6094379124341003,2.0
Arunachal Pradesh,Upper Subansiri,2025,10,31,2025-10-01,56.0,56.0,56.0,0.0,34.291666666666664,0.9040097205082672,3.4657359027997265,5.5677643628300215
Arunachal Pradesh,Upper Subansiri,2025,11,32,2025-11-01,31.0,56.0,43.5,17.67766952966369,31.64,1.0113780024964798,3.4965075614664802,5.656854249492381
Arunachal Pradesh,Upper Subansiri,2025,12,20,2025-12-01,32.0,31.0,39.666666666666664,14.153915830374762,15.333333333333334,1.3043478260018904,3.044522437723423,4.47213595499958
