state,district,year,month,enrollment,date,lag_1,lag_2,rolling_mean_3,rolling_std_3,state_avg,district_state_ratio,target_log
Andhra Pradesh,Guntur,2025,10,1654,2025-10-01,2748.0,2748.0,2748.0,0.0,786.6923076923077,2.1024738437442716,7.411556287811163
Andhra Pradesh,Guntur,2025,11,2942,2025-11-01,1654.0,2748.0,2201.0,773.574818618083,1128.1923076923076,2.6077114512641804,7.987184748233473
Andhra Pradesh,Guntur,2025,12,2136,2025-12-01,2942.0,1654.0,2448.0,694.4321421132521,798.1153846153846,2.676304756393929,7.667158255319148
Andhra Pradesh,Kakinada,2025,9,271,2025-09-01,,,,0.0,1299.8846153846155,0.20848004260717162,5.605802066295998
Andhra Pradesh,Kakinada,2025,10,177,2025-10-01,271.0,271.0,271.0,0.0,786.6923076923077,0.2249926664708199,5.181783550292085
Andhra Pradesh,Kakinada,2025,11,274,2025-11-01,177.0,271.0,224.0,66.46803743153546,1128.1923076923076,0.24286639620883257,5.616771097666572
Andhra Pradesh,Kakinada,2025,12,210,2025-12-01,274.0,177.0,240.66666666666666,55.15735067362584,798.1153846153846,0.2631198496454705,5.351858133476067
Andhra Pradesh,Krishna,2025,9,2209,2025-09-01,,,,0.0,1299.8846153846155,1.6993816019160226,7.700747794511798
Andhra Pradesh,Krishna,2025,10,1209,2025-10-01,2209.0,2209.0,2209.0,0.0,786.6923076923077,1.5368143150464477,7.098375638590786
Andhra Pradesh,Krishna,2025,11,1869,2025-11-01,1209.0,2209.0,1709.0,707.1067811865476,1128.1923076923076,1.6566324617310515,7.533693709848633
Andhra Pradesh,Krishna,2025,12,1281,2025-12-01,1869.0,1209.0,1762.3333333333333,508.46173241782253,798.1153846153846,1.6050310828373702,7.156176637480615
Andhra Pradesh,Kurnool,2025,9,3481,2025-09-01,,,,0.0,1299.8846153846155,2.6779299937843706,8.155362120328135
Andhra Pradesh,Kurnool,2025,10,2644,2025-10-01,3481.0,3481.0,3481.0,0.0,786.6923076923077,3.3609074019708913,7.8804263442924
Andhra Pradesh,Kurnool,2025,11,3116,2025-11-01,2644.0,3481.0,3062.5,591.8483758531403,1128.1923076923076,2.761940476593877,8.044626279767337
Andhra Pradesh,Kurnool,2025,12,2275,2025-12-01,3116.0,2644.0,3080.3333333333335,419.63833634849584,798.1153846153846,2.8504650378259306,7.730174795246222
Andhra Pradesh,N. T. R,2025,9,295,2025-09-01,,,,0.0,1299.8846153846155,0.22694321981223478,5.69035945432406
Andhra Pradesh,N. T. R,2025,10,160,2025-10-01,295.0,295.0,295.0,0.0,786.6923076923077,0.2033832013295547,5.081404364984463
Andhra Pradesh,N. T. R,2025,11,263,2025-11-01,160.0,295.0,227.5,95.45941546018392,1128.1923076923076,0.23311628541212762,5.575949103146316
Andhra Pradesh,N. T. R,2025,12,194,2025-12-01,263.0,160.0,239.33333333333334,70.54313101453134,798.1153846153846,0.2430726230058156,5.272999558563747
Andhra Pradesh,Nandyal,2025,9,230,2025-09-01,,,,0.0,1299.8846153846155,0.17693878154852202,5.442417710521793
Andhra Pradesh,Nandyal,2025,10,195,2025-10-01,230.0,230.0,230.0,0.0,786.6923076923077,0.2478732766203948,5.278114659230517
Andhra Pradesh,Nandyal,2025,11,276,2025-11-01,195.0,230.0,212.5,24.748737341529164,1128.1923076923076,0.24463914362641528,5.6240175061873385
Andhra Pradesh,Nandyal,2025,12,185,2025-12-01,276.0,195.0,233.66666666666666,40.62429486567532,798.1153846153846,0.23179605802100975,5.225746673713202
Andhra Pradesh,Palnadu,2025,9,284,2025-09-01,,,,0.0,1299.8846153846155,0.21848093025991416,5.652489180268651
Andhra Pradesh,Palnadu,2025,10,152,2025-10-01,284.0,284.0,284.0,0.0,786.6923076923077,0.19321404126307698,5.030437921392435
Andhra Pradesh,Palnadu,2025,11,179,2025-11-01,152.0,284.0,218.0,93.33809511662427,1128.1923076923076,0.1586608938736534,5.19295685089021
Andhra Pradesh,Palnadu,2025,12,215,2025-12-01,179.0,152.0,205.0,69.73521348644456,798.1153846153846,0.2693846079703627,5.375278407684165
Andhra Pradesh,Parvathipuram Manyam,2025,9,177,2025-09-01,,,,0.0,1299.8846153846155,0.13616593188734086,5.181783550292085
Andhra Pradesh,Parvathipuram Manyam,2025,10,106,2025-10-01,177.0,177.0,177.0,0.0,786.6923076923077,0.13474137088083,4.672828834461906
Andhra Pradesh,Parvathipuram Manyam,2025,11,110,2025-11-01,106.0,177.0,141.5,50.204581464244875,1128.1923076923076,0.09750110796704957,4.709530201312334
Andhra Pradesh,Parvathipuram Manyam,2025,12,96,2025-12-01,110.0,106.0,131.0,39.88734135035826,798.1153846153846,0.12028335983792939,4.574710978503383
Andhra Pradesh,Prakasam,2025,7,237,2025-07-01,,,,0.0,478.0,0.4958158995805527,5.472270673671475
Andhra Pradesh,Prakasam,2025,9,2689,2025-09-01,237.0,237.0,237.0,0.0,1299.8846153846155,2.068645146017286,7.897296472595885
Andhra Pradesh,Prakasam,2025,10,1356,2025-10-01,2689.0,237.0,1463.0,1733.8258274694144,786.6923076923077,1.723672631267976,7.213031659834869
Andhra Pradesh,Prakasam,2025,11,1822,2025-11-01,1356.0,2689.0,1427.3333333333333,1227.5554298414932,1128.1923076923076,1.6149728974178574,7.508238774678663
Andhra Pradesh,Prakasam,2025,12,1286,2025-12-01,1822.0,1356.0,1955.6666666666667,676.4778882811569,798.1153846153846,1.6112958411622624,7.160069207596127
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,3,116,2025-03-01,,,,0.0,116.0,0.9999999999913792,4.762173934797756
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,6,1348,2025-06-01,116.0,116.0,116.0,0.0,787.0,1.7128335451058287,7.207118856207756
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,7,719,2025-07-01,1348.0,116.0,732.0,871.1555544218265,478.0,1.5041841004152632,6.579251212010101
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,9,2290,2025-09-01,719.0,1348.0,727.6666666666666,616.0457234112848,1299.8846153846155,1.7616948249831108,7.736743682453495
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,10,1288,2025-10-01,2290.0,719.0,1452.3333333333333,790.679665435588,786.6923076923077,1.6372347707029153,7.161622002939187
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,11,1928,2025-11-01,1288.0,2290.0,1432.3333333333333,795.3831361886756,1128.1923076923076,1.7089285105497416,7.564757012905729
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,12,1217,2025-12-01,1928.0,1288.0,1835.3333333333333,507.3867689774078,798.1153846153846,1.5248421762787505,7.1049654482698426
Andhra Pradesh,Sri Sathya Sai,2025,9,263,2025-09-01,,,,0.0,1299.8846153846155,0.2023256502054839,5.575949103146316
Andhra Pradesh,Sri Sathya Sai,2025,10,187,2025-10-01,263.0,263.0,263.0,0.0,786.6923076923077,0.23770411655391704,5.236441962829949
Andhra Pradesh,Sri Sathya Sai,2025,11,244,2025-11-01,187.0,263.0,225.0,53.74011537017761,1128.1923076923076,0.2162751849450918,5.501258210544727
Andhra Pradesh,Sri Sathya Sai,2025,12,207,2025-12-01,244.0,187.0,231.33333333333334,39.55165398985652,798.1153846153846,0.25936099465053525,5.337538079701318
Andhra Pradesh,Srikakulam,2025,9,1397,2025-09-01,,,,0.0,1299.8846153846155,1.0747107731447185,7.242797922793756
Andhra Pradesh,Srikakulam,2025,10,834,2025-10-01,1397.0,1397.0,1397.0,0.0,786.6923076923077,1.060134936930304,6.727431724850855
Andhra Pradesh,Srikakulam,2025,11,1172,2025-11-01,834.0,1397.0,1115.5,398.10111780802623,1128.1923076923076,1.0388299867034736,7.067319848653476
Andhra Pradesh,Srikakulam,2025,12,773,2025-12-01,1172.0,834.0,1134.3333333333333,283.38372100975266,798.1153846153846,0.9685316370283272,6.651571873589727
Andhra Pradesh,Tirupati,2025,9,617,2025-09-01,,,,0.0,1299.8846153846155,0.47465751398016565,6.42648845745769
Andhra Pradesh,Tirupati,2025,10,215,2025-10-01,617.0,617.0,617.0,0.0,786.6923076923077,0.27329617678658913,5.375278407684165
Andhra Pradesh,Tirupati,2025,11,495,2025-11-01,215.0,617.0,416.0,284.2569260369921,1128.1923076923076,0.43875498585172307,6.206575926724928
Andhra Pradesh,Tirupati,2025,12,356,2025-12-01,495.0,215.0,442.3333333333333,206.11000299192986,798.1153846153846,0.44605079273232145,5.877735781779639
Andhra Pradesh,Visakhapatnam,2025,6,226,2025-06-01,,,,0.0,787.0,0.28716645489163,5.424950017481403
Andhra Pradesh,Visakhapatnam,2025,9,2551,2025-09-01,226.0,226.0,226.0,0.0,1299.8846153846155,1.9624818770881727,7.844632644464681
Andhra Pradesh,Visakhapatnam,2025,10,1495,2025-10-01,2551.0,226.0,1388.5,1644.023266258723,786.6923076923077,1.9003617874230267,7.310550158534422
Andhra Pradesh,Visakhapatnam,2025,11,2116,2025-11-01,1495.0,2551.0,1424.0,1164.124993288951,1128.1923076923076,1.8755667678025172,7.6577552711348655
Andhra Pradesh,Visakhapatnam,2025,12,1748,2025-12-01,2116.0,1495.0,2054.0,530.7230916400755,798.1153846153846,2.1901595103822973,7.466799475018602
Andhra Pradesh,Vizianagaram,2025,9,1294,2025-09-01,,,,0.0,1299.8846153846155,0.9954729709729891,7.166265974133638
Andhra Pradesh,Vizianagaram,2025,10,711,2025-10-01,1294.0,1294.0,1294.0,0.0,786.6923076923077,0.9037841009082087,6.568077911411976
Andhra Pradesh,Vizianagaram,2025,11,1017,2025-11-01,711.0,1294.0,1002.5,412.2432534317572,1128.1923076923076,0.9014420618408129,6.925595197110468
Andhra Pradesh,Vizianagaram,2025,12,723,2025-12-01,1017.0,711.0,1007.3333333333334,291.62018677268094,798.1153846153846,0.9058840537794056,6.584791392385716
Andhra Pradesh,West Godavari,2025,9,2005,2025-09-01,,,,0.0,1299.8846153846155,1.5424445956729855,7.603897968521881
Andhra Pradesh,West Godavari,2025,10,1027,2025-10-01,2005.0,2005.0,2005.0,0.0,786.6923076923077,1.3054659235340793,6.93537044601511
Andhra Pradesh,West Godavari,2025,11,1604,2025-11-01,1027.0,2005.0,1516.0,691.5504320004435,1128.1923076923076,1.421743428901341,7.380879035564116
Andhra Pradesh,West Godavari,2025,12,1116,2025-12-01,1604.0,1027.0,1545.3333333333333,491.632315184156,798.1153846153846,1.398294058115929,7.018401799069201
Arunachal Pradesh,Anjaw,2025,9,21,2025-09-01,,,,0.0,70.96,0.2959413754186029,3.091042453358316
Arunachal Pradesh,Anjaw,2025,10,3,2025-10-01,21.0,21.0,21.0,0.0,34.291666666666664,0.08748481166209038,1.3862943611198906
Arunachal Pradesh,Anjaw,2025,11,9,2025-11-01,3.0,21.0,12.0,12.727922061357855,31.64,0.28445006320213495,2.302585092994046
Arunachal Pradesh,Anjaw,2025,12,3,2025-12-01,9.0,3.0,11.0,9.16515138991168,15.333333333333334,0.19565217390028355,1.3862943611198906
Arunachal Pradesh,Changlang,2025,9,429,2025-09-01,,,,0.0,70.96,6.045659526408602,6.063785208687608
Arunachal Pradesh,Changlang,2025,10,187,2025-10-01,429.0,429.0,429.0,0.0,34.291666666666664,5.453219926936967,5.236441962829949
Arunachal Pradesh,Changlang,2025,11,116,2025-11-01,187.0,429.0,308.0,171.1198410471445,31.64,3.6662452590497394,4.762173934797756
Arunachal Pradesh,Changlang,2025,12,58,2025-12-01,116.0,187.0,244.0,164.1005789142744,15.333333333333334,3.782608695405482,4.07753744390572
Arunachal Pradesh,Dibang Valley,2025,9,4,2025-09-01,,,,0.0,70.96,0.05636978579401959,1.6094379124341003
Arunachal Pradesh,Dibang Valley,2025,10,4,2025-10-01,4.0,4.0,4.0,0.0,34.291666666666664,0.11664641554945383,1.6094379124341003
Arunachal Pradesh,Dibang Valley,2025,11,1,2025-11-01,4.0,4.0,4.0,0.0,31.64,0.031605562578014994,0.6931471805599453
Arunachal Pradesh,Dibang Valley,2025,12,1,2025-12-01,1.0,4.0,3.0,1.7320508075688772,15.333333333333334,0.06521739130009452,0.6931471805599453
Arunachal Pradesh,East Kameng,2025,9,76,2025-09-01,,,,0.0,70.96,1.0710259300863723,4.343805421853684
Arunachal Pradesh,East Kameng,2025,10,39,2025-10-01,76.0,76.0,76.0,0.0,34.291666666666664,1.1373025516071749,3.6888794541139363
Arunachal Pradesh,East Kameng,2025,11,44,2025-11-01,39.0,76.0,57.5,26.16295090390226,31.64,1.3906447534326598,3.8066624897703196
Arunachal Pradesh,East Kameng,2025,12,20,2025-12-01,44.0,39.0,53.0,20.074859899884732,15.333333333333334,1.3043478260018904,3.044522437723423
Arunachal Pradesh,East Siang,2025,9,56,2025-09-01,,,,0.0,70.96,0.7891770011162743,4.04305126783455
Arunachal Pradesh,East Siang,2025,10,40,2025-10-01,56.0,56.0,56.0,0.0,34.291666666666664,1.1664641554945383,3.713572066704308
Arunachal Pradesh,East Siang,2025,11,53,2025-11-01,40.0,56.0,48.0,11.313708498984761,31.64,1.6750948166347948,3.9889840465642745
Arunachal Pradesh,East Siang,2025,12,16,2025-12-01,53.0,40.0,49.666666666666664,8.504900548115383,15.333333333333334,1.0434782608015123,2.833213344056216
Arunachal Pradesh,Kamle,2025,9,20,2025-09-01,,,,0.0,70.96,0.28184892897009794,3.044522437723423
Arunachal Pradesh,Kamle,2025,10,1,2025-10-01,20.0,20.0,20.0,0.0,34.291666666666664,0.029161603887363458,0.6931471805599453
Arunachal Pradesh,Kamle,2025,11,7,2025-11-01,1.0,20.0,10.5,13.435028842544403,31.64,0.22123893804610495,2.0794415416798357
Arunachal Pradesh,Kamle,2025,12,2,2025-12-01,7.0,1.0,9.333333333333334,9.71253485622231,15.333333333333334,0.13043478260018904,1.0986122886681098
Arunachal Pradesh,Kra Daadi,2025,9,34,2025-09-01,,,,0.0,70.96,0.47914317924916655,3.5553480614894135
Arunachal Pradesh,Kra Daadi,2025,10,21,2025-10-01,34.0,34.0,34.0,0.0,34.291666666666664,0.6123936816346326,3.091042453358316
Arunachal Pradesh,Kra Daadi,2025,11,16,2025-11-01,21.0,34.0,27.5,9.192388155425117,31.64,0.5056890012482399,2.833213344056216
Arunachal Pradesh,Kra Daadi,2025,12,9,2025-12-01,16.0,21.0,23.666666666666668,9.29157324317757,15.333333333333334,0.5869565217008507,2.302585092994046
Arunachal Pradesh,Kurung Kumey,2025,9,26,2025-09-01,,,,0.0,70.96,0.36640360766112734,3.295836866004329
Arunachal Pradesh,Kurung Kumey,2025,10,18,2025-10-01,26.0,26.0,26.0,0.0,34.291666666666664,0.5249088699725423,2.9444389791664403
Arunachal Pradesh,Kurung Kumey,2025,11,25,2025-11-01,18.0,26.0,22.0,5.656854249492381,31.64,0.7901390644503749,3.258096538021482
Arunachal Pradesh,Kurung Kumey,2025,12,4,2025-12-01,25.0,18.0,23.0,4.358898943540674,15.333333333333334,0.2608695652003781,1.6094379124341003
Arunachal Pradesh,Leparada,2025,9,1,2025-09-01,,,,0.0,70.96,0.014092446448504898,0.6931471805599453
Arunachal Pradesh,Leparada,2025,11,1,2025-11-01,1.0,1.0,1.0,0.0,31.64,0.031605562578014994,0.6931471805599453
Arunachal Pradesh,Leparada,2025,12,1,2025-12-01,1.0,1.0,1.0,0.0,15.333333333333334,0.06521739130009452,0.6931471805599453
Arunachal Pradesh,Lohit,2025,9,48,2025-09-01,,,,0.0,70.96,0.6764374295282352,3.8918202981106265
Arunachal Pradesh,Lohit,2025,10,35,2025-10-01,48.0,48.0,48.0,0.0,34.291666666666664,1.020656136057721,3.58351893845611
Arunachal Pradesh,Lohit,2025,11,29,2025-11-01,35.0,48.0,41.5,9.192388155425117,31.64,0.9165613147624349,3.4011973816621555
Arunachal Pradesh,Lohit,2025,12,45,2025-12-01,29.0,35.0,37.333333333333336,9.71253485622231,15.333333333333334,2.934782608504253,3.828641396489095
Arunachal Pradesh,Longding,2025,7,401,2025-07-01,,,,0.0,242.0,1.6570247933815827,5.996452088619021
Arunachal Pradesh,Longding,2025,9,330,2025-09-01,401.0,401.0,401.0,0.0,70.96,4.650507328006617,5.802118375377063
Arunachal Pradesh,Longding,2025,10,65,2025-10-01,330.0,401.0,365.5,50.204581464244875,34.291666666666664,1.8955042526786248,4.189654742026425
Arunachal Pradesh,Longding,2025,11,72,2025-11-01,65.0,330.0,265.3333333333333,177.08849012099384,31.64,2.2756005056170796,4.290459441148391
Arunachal Pradesh,Longding,2025,12,10,2025-12-01,72.0,65.0,155.66666666666666,151.01765901156503,15.333333333333334,0.6521739130009452,2.3978952727983707
Arunachal Pradesh,Lower Dibang Valley,2025,9,43,2025-09-01,,,,0.0,70.96,0.6059751972857106,3.784189633918261
Arunachal Pradesh,Lower Dibang Valley,2025,10,23,2025-10-01,43.0,43.0,43.0,0.0,34.291666666666664,0.6707168894093595,3.1780538303479458
Arunachal Pradesh,Lower Dibang Valley,2025,11,23,2025-11-01,23.0,43.0,33.0,14.142135623730951,31.64,0.7269279392943448,3.1780538303479458
Arunachal Pradesh,Lower Dibang Valley,2025,12,14,2025-12-01,23.0,23.0,29.666666666666668,11.547005383792516,15.333333333333334,0.9130434782013233,2.70805020110221
Arunachal Pradesh,Lower Siang,2025,9,12,2025-09-01,,,,0.0,70.96,0.1691093573820588,2.5649493574615367
Arunachal Pradesh,Lower Siang,2025,10,4,2025-10-01,12.0,12.0,12.0,0.0,34.291666666666664,0.11664641554945383,1.6094379124341003
Arunachal Pradesh,Lower Siang,2025,11,14,2025-11-01,4.0,12.0,8.0,5.656854249492381,31.64,0.4424778760922099,2.70805020110221
Arunachal Pradesh,Lower Siang,2025,12,1,2025-12-01,14.0,4.0,10.0,5.291502622129181,15.333333333333334,0.06521739130009452,0.6931471805599453
Arunachal Pradesh,Lower Subansiri,2025,9,44,2025-09-01,,,,0.0,70.96,0.6200676437342155,3.8066624897703196
Arunachal Pradesh,Lower Subansiri,2025,10,22,2025-10-01,44.0,44.0,44.0,0.0,34.291666666666664,0.641555285521996,3.1354942159291497
Arunachal Pradesh,Lower Subansiri,2025,11,28,2025-11-01,22.0,44.0,33.0,15.556349186104045,31.64,0.8849557521844198,3.367295829986474
Arunachal Pradesh,Lower Subansiri,2025,12,11,2025-12-01,28.0,22.0,31.333333333333332,11.372481406154654,15.333333333333334,0.7173913043010397,2.4849066497880004
Arunachal Pradesh,Namsai,2025,9,61,2025-09-01,,,,0.0,70.96,0.8596392333587988,4.127134385045092
Arunachal Pradesh,Namsai,2025,10,34,2025-10-01,61.0,61.0,61.0,0.0,34.291666666666664,0.9914945321703575,3.5553480614894135
Arunachal Pradesh,Namsai,2025,11,25,2025-11-01,34.0,61.0,47.5,19.091883092036785,31.64,0.7901390644503749,3.258096538021482
Arunachal Pradesh,Namsai,2025,12,28,2025-12-01,25.0,34.0,40.0,18.734993995195193,15.333333333333334,1.8260869564026465,3.367295829986474
Arunachal Pradesh,Pakke Kessang,2025,9,2,2025-09-01,,,,0.0,70.96,0.028184892897009796,1.0986122886681098
Arunachal Pradesh,Pakke Kessang,2025,10,1,2025-10-01,2.0,2.0,2.0,0.0,34.291666666666664,0.029161603887363458,0.6931471805599453
Arunachal Pradesh,Pakke Kessang,2025,11,1,2025-11-01,1.0,2.0,1.5,0.7071067811865476,31.64,0.031605562578014994,0.6931471805599453
